"","ticker","tradeDate","clsPx","hiPx","loPx","open","stockVolume","unadjClsPx","unadjHiPx","unadjLoPx","unadjOpen","unadjStockVolume","updatedAt"
"4168","SPX",2022-07-26,3921.05,3953.22,3910.74,3953.22,0,3921.05,3953.22,3910.74,3953.22,0,"2022-07-26T23:27:43Z"
"4169","SPX",2022-07-27,4023.61,4039.56,3951.43,3951.43,0,4023.61,4039.56,3951.43,3951.43,0,"2022-07-27T23:26:27Z"
"4170","SPX",2022-07-28,4072.43,4078.95,3992.97,4026.13,0,4072.43,4078.95,3992.97,4026.13,0,"2022-07-28T23:26:44Z"
"4171","SPX",2022-07-29,4130.29,4140.15,4079.52,4087.33,0,4130.29,4140.15,4079.52,4087.33,0,"2022-07-29T23:26:46Z"
"4172","SPX",2022-08-01,4118.63,4144.95,4096.02,4112.38,0,4118.63,4144.95,4096.02,4112.38,0,"2022-08-01T23:28:24Z"
"4173","SPX",2022-08-02,4091.19,4140.47,4080.07,4104.21,0,4091.19,4140.47,4080.07,4104.21,0,"2022-08-02T23:28:47Z"
"4174","SPX",2022-08-03,4155.17,4167.66,4107.96,4107.96,0,4155.17,4167.66,4107.96,4107.96,0,"2022-08-03T23:28:33Z"
"4175","SPX",2022-08-04,4151.94,4161.29,4135.42,4154.85,0,4151.94,4161.29,4135.42,4154.85,0,"2022-08-04T23:28:28Z"
"4176","SPX",2022-08-05,4145.19,4151.58,4107.35,4115.87,0,4145.19,4151.58,4107.35,4115.87,0,"2022-08-06T03:10:21Z"
"4177","SPX",2022-08-08,4140.06,4186.62,4128.97,4155.93,0,4140.06,4186.62,4128.97,4155.93,0,"2022-08-08T23:27:41Z"
"4178","SPX",2022-08-09,4122.47,4137.3,4112.09,4133.11,0,4122.47,4137.3,4112.09,4133.11,0,"2022-08-09T23:28:11Z"
"4179","SPX",2022-08-10,4210.24,4211.03,4177.49,4181.02,0,4210.24,4211.03,4177.49,4181.02,0,"2022-08-10T23:26:33Z"
"4180","SPX",2022-08-11,4207.27,4257.91,4201.41,4227.4,0,4207.27,4257.91,4201.41,4227.4,0,"2022-08-11T23:28:02Z"
"4181","SPX",2022-08-12,4280.15,4280.47,4219.78,4225.02,0,4280.15,4280.47,4219.78,4225.02,0,"2022-08-12T23:31:32Z"
"4182","SPX",2022-08-15,4297.14,4301.79,4256.9,4269.37,0,4297.14,4301.79,4256.9,4269.37,0,"2022-08-15T23:30:35Z"
"4183","SPX",2022-08-16,4305.2,4325.28,4277.77,4290.46,0,4305.2,4325.28,4277.77,4290.46,0,"2022-08-17T23:31:19Z"
